Name,Type,Captial,Surface,Population
Адыгея,республика,Майкоп,7 792,449 171
Алтай,республика,Горно-Алтайск,92 903,213 703
Алтайский,край,Барнаул,167 996,2 384 812
Амурская,область,Благовещенск,361 913,809 873
Архангельская,область,Архангельск,589 913,1 183 323
Астраханская,область,Астрахань,49 024,1 021 287
Башкортостан,республика,Уфа,142 947,4 071 987
Белгородская,область,Белгород,27 134,1 547 936
Брянская,область,Брянск,34 857,1 232 940
Бурятия,республика,Улан-Удэ,351 334,978 495
Владимирская,область,Владимир,29 084,1 405 613
Волгоградская,область,Волгоград,112 877,2 557 397
Вологодская,область,Вологда,144 527,1 191 010
Воронежская,область,Воронеж,52 216,2 331 147
Дагестан,республика,Махачкала,50 270,2 990 371
Еврейская,автономная область,Биробиджан,36 266,168 368
Забайкальский,край,Чита,431 892,1 087 452
Ивановская,область,Иваново,21 437,1 036 909
Ингушетия,республика,Магас,3 628,463 893
Иркутская,область,Иркутск,774 846,2 414 913
Кабардино-Балкария,республика,Нальчик,12 470,860 709
Калининградская,область,Калининград,15 125,968 944
Калмыкия,республика,Элиста,74 731,280 564
Калужская,область,Калуга,29 777,1 010 486
Камчатский,край,Петропавловск-Камчатский,464 275,317 269
Карачаево-Черкесия,республика,Черкесск,14 277,469 060
Карелия,республика,Петрозаводск,180 520,632 533
Кемеровская,область,Кемерово,95 725,2 724 990
Кировская,область,Киров,120 374,1 304 348
Коми,республика,Сыктывкар,416 774,864 424
Костромская,область,Кострома,60 211,654 390
Краснодарский,край,Краснодар,75 485,5 453 329
Красноярский,край,Красноярск,2 366 797,2 858 773
Крым,республика,Симферополь,26 081,1 895 915
Курганская,область,Курган,71 488,869 814
Курская,область,Курск,29 997,1 117 378
Ленинградская,область,Санкт-Петербург,83 908,1 775 540
Липецкая,область,Липецк,24 047,1 157 865
Магаданская,область,Магадан,462 464,148 071
Марий Эл,республика,Йошкар-Ола,23 375,687 435
Мордовия,республика,Саранск,26 128,808 888
Москва,город федерального значения,Москва,2 511,12 197 596
Московская,область,Москва,44 379,7 231 068
Мурманская,область,Мурманск,144 902,766 281
Ненецкий,автономный округ,Нарьян-Мар,176 810,43 373
Нижегородская,область,Нижний Новгород,76 624,3 270 203
Новгородская,область,Великий Новгород,54 501,618 703
Новосибирская,область,Новосибирск,177 756,2 746 822
Омская,область,Омск,141 140,1 978 183
Оренбургская,область,Оренбург,123 702,2 001 110
Орловская,область,Орёл,24 652,765 231
Пензенская,область,Пенза,43 352,1 355 618
Пермский,край,Пермь,160 236,2 637 032
Приморский,край,Владивосток,164 673,1 933 308
Псковская,область,Псков,55 399,651 108
Ростовская,область,Ростов-на-Дону,100 967,4 242 080
Рязанская,область,Рязань,39 605,1 135 438
Самарская,область,Самара,53 565,3 212 676
Санкт-Петербург,город федерального значения,Санкт-Петербург,1 439,5 191 690
Саратовская,область,Саратов,101 240,2 493 024
Саха (Якутия),республика,Якутск,3 083 523,956 896
Сахалинская,область,Южно-Сахалинск,87 101,488 391
Свердловская,область,Екатеринбург,194 307,4 327 472
Севастополь,город федерального значения,Севастополь,1 080,398 973
Северная Осетия - Алания,республика,Владикавказ,7 987,705 270
Смоленская,область,Смоленск,49 779,964 791
Ставропольский,край,Ставрополь,66 160,2 799 473
Тамбовская,область,Тамбов,34 462,1 062 421
Татарстан,республика,Казань,67 847,3 855 037
Тверская,область,Тверь,84 201,1 315 071
Томская,область,Томск,314 391,1 074 453
Тульская,область,Тула,25 679,1 513 570
Тыва,республика,Кызыл,168 604,313 777
Тюменская,область,Тюмень,1 464 173,3 581 293
Удмуртия,республика,Ижевск,42 061,1 517 472
Ульяновская,область,Ульяновск,37 181,1 262 549
Хабаровский,край,Хабаровск,787 633,1 338 305
Хакасия,республика,Абакан,61 569,535 796
Ханты-Мансийский - Югра,автономный округ,Ханты-Мансийск,534 801,1 612 076
Челябинская,область,Челябинск,88 529,3 497 274
Чечня,республика,Грозный,15 647,1 370 268
Чувашия,республика,Чебоксары,18 343,1 238 071
Чукотский,автономный округ,Анадырь,721 481,50 540
Ямало-Ненецкий,автономный округ,Салехард,769 250,539 985
Ярославская,область,Ярославль,36 177,1 271 629
